week,receipts,disbursements,net_cash,ending_cash
1,0.00,13200.00,-13200.00,16800.00
2,44000.00,1200.00,42800.00,59600.00
3,22000.00,12080.00,9920.00,69520.00
4,0.00,37480.00,-37480.00,32040.00
5,0.00,0.00,0.00,32040.00
6,0.00,13200.00,-13200.00,18840.00
7,44000.00,1200.00,42800.00,61640.00
8,22000.00,12080.00,9920.00,71560.00
9,0.00,21880.00,-21880.00,49680.00
10,0.00,13200.00,-13200.00,36480.00
11,44000.00,1200.00,42800.00,79280.00
12,22000.00,33960.00,-11960.00,67320.00
13,0.00,0.00,0.00,67320.00
