date,receipts,payments,ending_cash
2026-10-02,0.00,0.00,30000.00
2026-10-03,0.00,0.00,30000.00
2026-10-04,0.00,0.00,30000.00
2026-10-05,0.00,0.00,30000.00
2026-10-06,0.00,0.00,30000.00
2026-10-07,0.00,13200.00,16800.00
2026-10-08,0.00,0.00,16800.00
2026-10-09,0.00,0.00,16800.00
2026-10-10,0.00,0.00,16800.00
2026-10-11,0.00,0.00,16800.00
2026-10-12,0.00,0.00,16800.00
2026-10-13,0.00,0.00,16800.00
2026-10-14,44000.00,0.00,60800.00
2026-10-15,0.00,1200.00,59600.00
2026-10-16,0.00,0.00,59600.00
2026-10-17,0.00,0.00,59600.00
2026-10-18,0.00,0.00,59600.00
2026-10-19,0.00,0.00,59600.00
2026-10-20,0.00,7080.00,52520.00
2026-10-21,22000.00,5000.00,69520.00
2026-10-22,0.00,0.00,69520.00
2026-10-23,0.00,0.00,69520.00
2026-10-24,0.00,0.00,69520.00
2026-10-25,0.00,0.00,69520.00
2026-10-26,0.00,0.00,69520.00
2026-10-27,0.00,0.00,69520.00
2026-10-28,0.00,37480.00,32040.00
2026-10-29,0.00,0.00,32040.00
2026-10-30,0.00,0.00,32040.00
2026-10-31,0.00,0.00,32040.00
2026-11-01,0.00,0.00,32040.00
2026-11-02,0.00,0.00,32040.00
2026-11-03,0.00,0.00,32040.00
2026-11-04,0.00,0.00,32040.00
2026-11-05,0.00,0.00,32040.00
2026-11-06,0.00,13200.00,18840.00
2026-11-07,0.00,0.00,18840.00
2026-11-08,0.00,0.00,18840.00
2026-11-09,0.00,0.00,18840.00
2026-11-10,0.00,0.00,18840.00
2026-11-11,0.00,0.00,18840.00
2026-11-12,0.00,0.00,18840.00
2026-11-13,44000.00,1200.00,61640.00
2026-11-14,0.00,0.00,61640.00
2026-11-15,0.00,0.00,61640.00
2026-11-16,0.00,0.00,61640.00
2026-11-17,0.00,0.00,61640.00
2026-11-18,0.00,0.00,61640.00
2026-11-19,0.00,0.00,61640.00
2026-11-20,22000.00,12080.00,71560.00
2026-11-21,0.00,0.00,71560.00
2026-11-22,0.00,0.00,71560.00
2026-11-23,0.00,0.00,71560.00
2026-11-24,0.00,0.00,71560.00
2026-11-25,0.00,0.00,71560.00
2026-11-26,0.00,0.00,71560.00
2026-11-27,0.00,21880.00,49680.00
2026-11-28,0.00,0.00,49680.00
2026-11-29,0.00,0.00,49680.00
2026-11-30,0.00,0.00,49680.00
2026-12-01,0.00,0.00,49680.00
2026-12-02,0.00,0.00,49680.00
2026-12-03,0.00,0.00,49680.00
2026-12-04,0.00,0.00,49680.00
2026-12-05,0.00,0.00,49680.00
2026-12-06,0.00,0.00,49680.00
2026-12-07,0.00,13200.00,36480.00
2026-12-08,0.00,0.00,36480.00
2026-12-09,0.00,0.00,36480.00
2026-12-10,0.00,0.00,36480.00
2026-12-11,0.00,0.00,36480.00
2026-12-12,0.00,0.00,36480.00
2026-12-13,0.00,0.00,36480.00
2026-12-14,44000.00,0.00,80480.00
2026-12-15,0.00,1200.00,79280.00
2026-12-16,0.00,0.00,79280.00
2026-12-17,0.00,0.00,79280.00
2026-12-18,0.00,7080.00,72200.00
2026-12-19,0.00,0.00,72200.00
2026-12-20,0.00,0.00,72200.00
2026-12-21,22000.00,5000.00,89200.00
2026-12-22,0.00,0.00,89200.00
2026-12-23,0.00,0.00,89200.00
2026-12-24,0.00,21880.00,67320.00
2026-12-25,0.00,0.00,67320.00
2026-12-26,0.00,0.00,67320.00
2026-12-27,0.00,0.00,67320.00
2026-12-28,0.00,0.00,67320.00
2026-12-29,0.00,0.00,67320.00
2026-12-30,0.00,0.00,67320.00
2026-12-31,0.00,0.00,67320.00
