Profit and Loss
Yanille Trading Pty Ltd
For the month ended 31 August 2026

Account,Aug 2026,Aug 2025

Trading Income
Sales,27500.00,25000.00
Total Trading Income,27500.00,25000.00

Cost of Sales
Purchases,760.00,0
Total Cost of Sales,760.00,0

Gross Profit,26740.00,25000.00

Other Income
Interest Income,97.05,0
Total Other Income,97.05,0

Operating Expenses
Advertising,2270.00,0
Freight & Courier,-9.09,0
Rent,1075.00,1000.00
Wages and Salaries,13400.00,12000.00
Total Operating Expenses,16735.91,13000.00

Net Profit,10101.14,12000.00
